season,player_name,team,gp,toi,shots,goals,assists,points,scouting_grade
2020,"Crosby, Sidney",PIT,41,612:32,118,9,18,27,10
2020,"Eichel, Jack",BUF,68,1114:56,253,16,18,34,1
2020,"Hughes, Jack",NJD,61,719:54,130,2,8,10,8
2020,"Kopitar, Anze",LAK,70,1059:0.,147,12,18,30,4
2020,"McDavid, Connor",EDM,64,1068:6.,219,21,30,51,3
2020,"Miller, J.T.",VAN,69,999:54,173,18,21,39,2
2020,"Point, Brayden",TBL,66,947:21,180,17,27,44,2
2019,"Barkov, Aleksander",FLA,82,1252:32,203,18,30,48,4
2019,"Draisaitl, Leon",EDM,82,1374:52,236,28,30,58,2
2019,"Hintz, Roope",DAL,58,658:51,110,5,8,13,4
2019,"MacKinnon, Nathan",COL,82,1362:35,366,22,24,46,5
2019,"Eichel, Jack",BUF,77,1161:28,296,15,31,46,8
2020,"Barkov, Aleksander",FLA,66,944:53,161,13,24,37,8
2020,"Draisaitl, Leon",EDM,71,1175:39,243,21,35,56,8
2020,"Hintz, Roope",DAL,60,702:53,154,12,3,15,2
2020,"MacKinnon, Nathan",COL,69,1084:8.,397,18,34,52,8
2021,"Barkov, Aleksander",FLA,50,713:22,159,15,16,31,3
2021,"Draisaitl, Leon",EDM,56,913:21,133,13,26,39,4
2021,"Hintz, Roope",DAL,41,544:48,118,9,15,24,9
2021,"MacKinnon, Nathan",COL,48,731:59,271,8,26,34,2
2022,"MacKinnon, Nathan",COL,65,1034:44,355,23,27,50,1
2022,"Eichel, Jack",VGK,34,511:54,127,9,5,14,3
2022,"Point, Brayden",TBL,66,952:24,192,15,15,30,2
2022,"Miller, J.T.",VAN,80,1151:8.,171,19,27,46,4
2022,"Hughes, Jack",NJD,49,755:51,225,17,16,33,5
2021,"Crosby, Sidney",PIT,55,881:45,182,11,16,27,8
2021,"Eichel, Jack",BUF,21,328:59,58,1,7,8,4
2021,"Hughes, Jack",NJD,56,831:56,201,10,9,19,1
2021,"Kopitar, Anze",LAK,56,816:52,131,9,14,23,9
2021,"McDavid, Connor",EDM,56,940:27,207,19,37,56,4
2021,"Miller, J.T.",VAN,53,765:10,95,7,15,22,7
2021,"Point, Brayden",TBL,56,775:25,146,14,13,27,6
2019,"Point, Brayden",TBL,79,1133:30,192,19,32,51,8
2019,"Miller, J.T.",TBL,75,882:19,140,9,14,23,7
2019,"Crosby, Sidney",PIT,79,1254:24,239,19,42,61,3
2019,"Kopitar, Anze",LAK,81,1320:30,183,17,17,34,2
2019,"McDavid, Connor",EDM,78,1363:41,273,24,39,63,4
2023,"MacKinnon, Nathan",COL,71,1191:53,415,25,40,65,9
2023,"Eichel, Jack",VGK,67,954:8.,230,20,19,39,8
2023,"Point, Brayden",TBL,82,1203:20,233,29,30,59,8
2023,"Miller, J.T.",VAN,81,1107:26,176,11,20,31,2
2023,"Hughes, Jack",NJD,78,1197:19,369,28,28,56,7
2023,"Crosby, Sidney",PIT,82,1237:30,267,22,33,55,1
2022,"Crosby, Sidney",PIT,69,1047:57,212,15,24,39,8
2022,"Kopitar, Anze",LAK,81,1183:35,185,12,21,33,7
2022,"McDavid, Connor",EDM,80,1330:37,294,22,36,58,9
2023,"Kopitar, Anze",LAK,82,1172:31,180,17,29,46,10
2023,"McDavid, Connor",EDM,82,1306:11,300,33,28,61,7
2023,"Barkov, Aleksander",FLA,68,912:15,168,12,24,36,5
2023,"Draisaitl, Leon",EDM,80,1266:26,210,17,34,51,7
2023,"Hintz, Roope",DAL,73,930:32,203,21,22,43,5
2024,"Point, Brayden",TBL,81,1224:50,251,28,23,51,4
2024,"Crosby, Sidney",PIT,82,1245:4.,280,22,34,56,5
2024,"Miller, J.T.",VAN,81,1082:24,175,20,28,48,8
2024,"Hughes, Jack",NJD,62,973:38,317,13,20,33,2
2024,"MacKinnon, Nathan",COL,82,1383:38,449,36,43,79,4
2024,"Eichel, Jack",VGK,63,846:7.,238,15,19,34,7
2024,"Kopitar, Anze",LAK,81,1099:28,148,13,19,32,10
2024,"McDavid, Connor",EDM,76,1229:16,292,19,53,72,3
2022,"Barkov, Aleksander",FLA,67,882:52,174,15,23,38,3
2022,"Draisaitl, Leon",EDM,80,1285:52,256,26,28,54,1
2022,"Hintz, Roope",DAL,80,1054:4.,236,24,13,37,7
2025,"Celebrini, Macklin",SJS,70,1055:29,277,16,21,37,3
2025,"Kopitar, Anze",LAK,81,1132:10,118,16,20,36,10
2025,"McDavid, Connor",EDM,67,1153:8.,240,15,36,51,3
2025,"Crosby, Sidney",PIT,80,1272:39,246,16,40,56,7
2025,"Eichel, Jack",VGK,77,1147:17,252,20,27,47,1
2025,"Hughes, Jack",NJD,62,948:50,291,15,17,32,5
2025,"Miller, J.T.",NYR,32,425:14,63,8,10,18,8
2025,"Miller, J.T.",VAN,40,518:57,82,3,14,17,7
2025,"Point, Brayden",TBL,77,1147:42,210,21,23,44,6
2025,"Bedard, Connor",CHI,82,1342:45,281,11,24,35,8
2025,"Draisaitl, Leon",EDM,71,1178:17,244,23,31,54,10
2025,"Hintz, Roope",DAL,76,909:17,161,17,18,35,1
2025,"MacKinnon, Nathan",COL,79,1349:52,389,15,38,53,5
2024,"Hintz, Roope",DAL,80,1000:14,191,14,21,35,2
2024,"Barkov, Aleksander",FLA,73,930:50,195,13,25,38,1
2024,"Draisaitl, Leon",EDM,81,1257:4.,233,15,40,55,1
2024,"Bedard, Connor",CHI,68,1044:12,247,16,18,34,10
2025,"Barkov, Aleksander",FLA,67,935:51,161,7,26,33,1
